                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.499,                 5.1989,                0.41158,                  3.104,                 1.1688,                0.32053,                0.48571,                0.41065,                0.23852,                0.31424,                0.12649,                0.15357,                0.07261,                 1.6539,                 5.7495,                0.51397,                 2.6684,                 1.2281,                      0,                      0,                      0
                      2,                 1.4156,                 5.6314,                0.38995,                 3.2476,                 1.1197,                0.32257,                0.48571,                0.41032,                 0.2389,                0.31356,                0.12591,                0.15439,                0.07302,                  1.661,                 5.7496,                0.51224,                 2.6736,                 1.2315,             1.2875e-05,             1.2875e-05,             1.2875e-05
                      3,                 1.4112,                 4.9151,                0.41579,                 3.1654,                 1.1713,                0.33342,                0.48571,                0.40282,                0.23511,                 0.0978,                0.14286,                0.13572,                0.06359,                 1.6527,                 5.7469,                0.50905,                 2.6704,                 1.2285,             2.2921e-05,             2.2921e-05,             2.2921e-05
                      4,                 1.4462,                 5.3019,                 0.4161,                 3.1123,                 1.1685,                0.33094,                0.48571,                0.42088,                0.23216,                0.10092,                0.14286,                0.13615,                0.06367,                 1.6469,                 5.7285,                0.50661,                 2.6671,                  1.224,             3.0138e-05,             3.0138e-05,             3.0138e-05
                      5,                 1.2963,                 5.0983,                0.41105,                 3.1819,                 1.1153,                 0.3327,                0.48571,                0.41946,                0.23219,                0.10321,                0.14286,                0.13651,                0.06374,                 1.6364,                 5.7569,                0.50843,                  2.668,                   1.22,             3.4525e-05,             3.4525e-05,             3.4525e-05
                      6,                 1.4575,                 5.1008,                0.40109,                 3.1013,                 1.1734,                0.35719,                0.48571,                0.42884,                0.23831,                0.17508,                0.24286,                0.13695,                0.06059,                 1.6336,                 5.7659,                0.50652,                 2.6666,                 1.2207,             3.6082e-05,             3.6082e-05,             3.6082e-05
                      7,                 1.0736,                  4.212,                0.37401,                  3.006,                 1.0274,                0.34987,                0.48571,                0.44446,                0.24846,                0.16733,                0.24286,                0.14212,                0.06108,                 1.6429,                  5.811,                 0.4972,                 2.5846,                 1.2172,              3.481e-05,              3.481e-05,              3.481e-05
                      8,                 1.2304,                 4.7912,                0.38651,                 3.2092,                 1.0393,                0.36193,                0.54377,                0.45695,                 0.2574,                0.16771,                0.24286,                0.17614,                0.06978,                 1.6349,                 5.7632,                0.48315,                 2.5002,                 1.2139,             3.0709e-05,             3.0709e-05,             3.0709e-05
                      9,                 1.2382,                 4.4125,                0.38684,                 2.9173,                 1.0651,                0.35571,                0.54151,                0.47959,                0.26741,                0.18048,                0.24286,                0.16767,                 0.0678,                 1.6468,                 5.7965,                0.47979,                  2.457,                  1.226,             2.3779e-05,             2.3779e-05,             2.3779e-05
                     10,                  1.325,                 4.8688,                0.36712,                 2.8894,                 1.0828,                0.36858,                0.54352,                0.49119,                0.27554,                0.16236,                0.24286,                0.15973,                0.06309,                 1.6493,                 5.7823,                0.47124,                 2.4276,                 1.2241,             1.4018e-05,             1.4018e-05,             1.4018e-05
